ms_played,frequency,release_date,acousticness,danceability,energy,key,instrumentalness,liveness,loudness,mode,speechiness,valence,tempo,time_signature,popularity
213971,4.0,2005,0.284,0.778,0.824,10.0,0.0,0.405,-5.892,0.0,0.0707,0.758,100.024,4.0,84.0
294573,5.0,2009,0.00314,0.696,0.921,0.0,5.24e-05,0.0842,-3.755,1.0,0.0363,0.714,119.001,4.0,83.0
199986,5.0,2012,0.009,0.726,0.787,4.0,0.0,0.0596,-2.494,1.0,0.0737,0.888,124.99,4.0,84.0
210960,7.0,2011,0.0319,0.646,0.795,9.0,0.0,0.267,-3.293,1.0,0.0976,0.796,89.99,4.0,82.0
252270,3.0,2000,0.0302,0.949,0.661,5.0,0.0,0.0454,-4.244,0.0,0.0572,0.76,104.504,4.0,87.0
74280,10.0,2008,0.113,0.762,0.692,5.0,0.0,0.094,-3.973,0.0,0.0438,0.397,114.906,4.0,70.0
123413,3.0,2012,0.00215,0.658,0.729,7.0,0.0013,0.0752,-6.561,1.0,0.0378,0.668,104.007,4.0,58.0
126656,7.0,2012,0.00125,0.649,0.815,3.0,4.31e-05,0.671,-3.796,0.0,0.0415,0.765,126.03,4.0,75.0
238805,100.0,2020,0.44,0.761,0.525,11.0,6.7e-06,0.0921,-6.9,1.0,0.0944,0.531,80.87,4.0,84.0
191224,169.0,2020,0.09,0.71,0.618,11.0,3.93e-05,0.141,-8.865,0.0,0.0598,0.797,94.995,4.0,48.0
191189,71.0,2021,0.037,0.708,0.598,5.0,0.0,0.17,-8.365,1.0,0.0291,0.698,112.027,4.0,73.0
157560,17.0,2018,0.556,0.76,0.479,2.0,0.0,0.0703,-5.574,1.0,0.0466,0.913,89.911,4.0,83.0
141805,27.0,2021,0.0383,0.591,0.764,1.0,0.0,0.103,-5.484,1.0,0.0483,0.478,169.928,4.0,89.0
242096,82.0,2021,0.182,0.586,0.616,5.0,0.0,0.0927,-7.964,1.0,0.0324,0.719,148.088,4.0,68.0
